French,English
partie,part
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
laisser,let
car,because
laisse,leash
ville,city
chaque,each
arrivé,come
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
pourrais,could
affaire,case
type,type
leurs,their
donné,given
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
côté,side
pouvoir,power
sois,be
tiens,here
tellement,so much
point,point
suite,after
pardon,sorry
venez,come
minutes,minutes
demandé,request
chambre,bedroom
belle,beautiful
aujourd'hui,today
mari,husband
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
dirait,would say
compte,account
loin,far
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
